,name,Grouping,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
52,github.com/googleapis/python-cloud-core,Python,6.9,10,8,8,0,10,10,10,10,0,10,5,10,4,0,10,2.17391304347826,0,10
53,github.com/aio-libs/aiohttp,Python,6.9,10,3,9,0,9,10,10,10,10,10,10,10,5,10,0,0,0,10
54,github.com/pytest-dev/pytest,Python,7.1,10,8,10,0,9,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
55,github.com/platformdirs/platformdirs,Python,6.8,10,0,10,0,7,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
56,github.com/python-greenlet/greenlet,Python,4.8,10,0,10,0,2,10,10,0,0,10,0,10,7,9,0,2.17391304347826,0,10
57,github.com/tobgu/pyrsistent,Python,4.7,10,0,7,0,4,10,10,0,0,10,7,10,7,0,0,2.17391304347826,0,10
58,github.com/googleapis/api-common-protos,Python,7.5,10,8,10,0,10,10,10,10,0,10,0,10,7,0,10,2.17391304347826,10,10
59,github.com/googleapis/python-storage,Python,7.9,10,8,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10
60,github.com/pallets/jinja,Python,6.9,10,3,9,0,5,10,10,10,0,10,10,10,7,0,10,10,0,10
61,github.com/aio-libs/aiobotocore,Python,6.0,10,3,9,0,7,10,10,0,0,10,10,10,7,10,0,2.17391304347826,0,10
62,github.com/hukkin/tomli,Python,4.7,10,3,10,0,4,3,10,0,0,10,5,10,7,0,0,2.17391304347826,0,10
63,github.com/pandas-dev/pandas,Python,5.5,10,3,10,0,10,10,10,0,0,10,10,10,0,0,10,0,0,10
64,github.com/pallets/flask,Python,7.3,10,3,7,0,6,10,10,10,10,10,10,10,7,0,10,8,0,10
65,github.com/fsspec/filesystem_spec,Python,5.3,10,0,8.35555555555556,0,9,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
66,github.com/oauthlib/oauthlib,Python,5.4,10,6,8,0,8,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
67,github.com/tartley/colorama,Python,5.5,10,0,10,0,2,10,10,0,0,10,10,10,9,0,10,2.17391304347826,0,10
68,github.com/dask/s3fs,Python,6.0,10,0,10,0,9,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
69,github.com/eliben/pycparser,Python,4.6,10,0,10,0,3,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
70,github.com/boto/s3transfer,Python,5.4,10,0,10,0,7,10,10,0,0,10,5,10,7,0,10,2.17391304347826,0,10
71,github.com/jpadilla/pyjwt,Python,6.6,10,6,10,0,7,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
72,github.com/kjd/idna,Python,5.1,10,3,10,0,7,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
73,github.com/pallets/pallets-sphinx-themes,Python,5.7,10,3,0,0,4,10,10,0,0,10,0,10,10,0,10,2.17391304347826,10,10
