,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
49,Apache,github.com/apache/pivot,4.8,7,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
50,Apache,github.com/apache/royale-compiler,5.9,10,0,0,0,0,10,10,0,0,10,10,-1,10,0,10,-1,10,10
51,Apache,github.com/apache/harmony-classlib,4.4,0,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
52,Apache,github.com/apache/cordova-plugin-splashscreen,5.8,10,0,7,0,8,10,10,0,0,10,8,-1,9,0,10,-1,0,10
53,Apache,github.com/apache/uima-uimacpp,5.5,10,3,0,0,1,10,10,0,0,10,0,-1,10,0,10,-1,10,10
54,Apache,github.com/apache/apreq,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
55,Apache,github.com/apache/geronimo-genesis,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
56,Apache,github.com/apache/storm,6.8,7,0,9,0,10,10,10,0,0,10,10,-1,10,0,10,-1,10,10
57,Apache,github.com/apache/portals-pluto,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
58,Apache,github.com/apache/cloudstack,4.7,10,0,10,2,7,10,0,0,0,10,10,-1,5,0,10,-1,0,10
59,Apache,github.com/apache/cordova-ios,5.8,10,3,10,0,10,10,10,0,0,10,4,-1,7,0,10,-1,0,10
60,Apache,github.com/apache/maven-surefire,6.3,8,0,10,0,6,10,10,10,0,0,10,-1,10,0,10,-1,0,10
61,Apache,github.com/apache/esme,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
62,Apache,github.com/apache/commons-dbutils,6.8,10,0,10,0,2,10,10,10,0,10,10,-1,7,10,10,-1,0,10
63,Apache,github.com/apache/sirona,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
64,Apache,github.com/apache/james-hupa,5.2,10,3,0,0,1,10,10,0,0,0,0,-1,10,0,10,-1,10,10
65,Apache,github.com/apache/jackrabbit-oak,7.0,10,3,10,0,7,10,10,0,0,10,10,-1,10,0,10,-1,10,10
66,Apache,github.com/apache/commons-jcs,7.2,10,3,10,0,4,10,10,10,0,10,10,-1,7,10,10,-1,0,10
67,Apache,github.com/apache/servicemix-components,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
68,Apache,github.com/apache/commons-vfs,6.5,4,3,10,0,2,10,10,10,0,10,10,-1,7,10,10,-1,0,10
69,Apache,github.com/apache/uima-uimaj,6.1,0,3,10,0,5,10,10,0,0,10,10,-1,10,0,10,-1,10,10
70,Apache,github.com/apache/etch,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
71,Apache,github.com/apache/flex-site,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
72,Apache,github.com/apache/deltaspike,6.1,10,0,-1,0,0,10,10,0,0,10,10,-1,10,0,10,-1,10,10
73,Apache,github.com/apache/commons-chain,5.4,10,3,0,0,0,10,10,10,0,10,1,-1,9,0,10,-1,0,10
74,Apache,github.com/apache/tuscany-sca-2.x,4.4,0,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
75,Apache,github.com/apache/commons-jexl,7.3,10,3,10,0,4,10,10,10,0,10,10,-1,9,10,10,-1,0,10
76,Apache,github.com/apache/tapestry4,4.9,6,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
77,Apache,github.com/apache/maven-site,7.1,10,3,4,0,3,10,10,10,0,0,10,-1,10,0,10,-1,10,10
78,Apache,github.com/apache/cordova-windows,5.4,10,3,9,0,8,10,10,0,0,10,1,-1,7,0,10,-1,0,10
79,Apache,github.com/apache/webservices-commons-xmlschema,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
80,Apache,github.com/apache/camel,5.8,7,0,5,0,3,10,10,10,0,10,10,-1,5,0,10,-1,0,10
81,Apache,github.com/apache/chainsaw,5.2,10,0,-1,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
82,Apache,github.com/apache/apr-iconv,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
83,Apache,github.com/apache/commons-pool,6.8,10,0,10,0,2,10,10,10,0,10,10,-1,7,10,10,-1,0,10
84,Apache,github.com/apache/couchdb-fauxton,5.3,10,0,5,0,9,10,10,0,0,10,2,-1,9,0,10,-1,0,10
85,Apache,github.com/apache/directory-studio,6.5,10,3,8,0,2,10,10,0,0,10,5,-1,9,9,10,-1,9,10
86,Apache,github.com/apache/servicemix-pom,5.0,10,0,-1,0,0,10,10,0,0,0,0,-1,10,0,10,-1,10,10
87,Apache,github.com/apache/commons-jxpath,5.9,10,3,0,0,0,10,10,0,10,10,0,-1,10,0,10,-1,10,10
88,Apache,github.com/apache/cordova-plugin-device-orientation,4.9,10,0,4,0,5,10,10,0,0,10,1,-1,9,0,10,-1,0,10
89,Apache,github.com/apache/tiles-request,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
90,Apache,github.com/apache/sanselan,5.3,10,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
91,Apache,github.com/apache/sling-old-svn-mirror,4.7,10,0,-1,0,0,0,10,0,0,0,0,-1,10,0,10,-1,10,10
92,Apache,github.com/apache/couchdb-rebar,5.5,10,0,8,0,2,10,10,0,0,10,0,-1,10,0,10,-1,10,10
93,Apache,github.com/apache/derby,4.4,0,0,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
94,Apache,github.com/apache/incubator-pagespeed-cpanel,5.1,9,0,0,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
95,Apache,github.com/apache/servicemix-archetypes,5.0,10,0,-1,0,0,10,10,0,0,0,0,-1,10,0,10,-1,10,10
96,Apache,github.com/apache/flex-flexunit,4.6,4,0,0,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
97,Apache,github.com/apache/cxf,7.0,4,0,10,0,1,10,10,10,0,10,10,-1,7,10,10,-1,10,10
